iter	MAE
0	3.70880506
1	3.650571959
2	3.604103902
3	3.554222532
4	3.508560721
5	3.490304321
6	3.46536182
7	3.430079253
8	3.401685475
9	3.377061277
10	3.347417722
11	3.317340837
12	3.281600855
13	3.265411867
14	3.241234537
15	3.22163603
16	3.20688507
17	3.183204007
18	3.168227969
19	3.152002631
20	3.126651927
21	3.112087324
22	3.089399234
23	3.062623449
24	3.046497879
25	3.030207641
26	3.016013571
27	3.000943051
28	2.982156277
29	2.965533452
30	2.949980523
31	2.937256536
32	2.924759745
33	2.914977587
34	2.897972113
35	2.878252249
36	2.862133416
37	2.850852349
38	2.839382334
39	2.825231859
40	2.810098836
41	2.798190786
42	2.780996823
43	2.768923954
44	2.758030923
45	2.743847974
46	2.728104126
47	2.716415539
48	2.702642628
49	2.690007377
50	2.674437462
51	2.666904795
52	2.653880626
53	2.646031188
54	2.635073851
55	2.627022718
56	2.612271569
57	2.599674406
58	2.580206292
59	2.569811148
60	2.557255922
61	2.543047704
62	2.532700552
63	2.520657331
64	2.512247331
65	2.500617065
66	2.490421214
67	2.476094367
68	2.468220019
69	2.460248486
70	2.450000477
71	2.44063433
72	2.432455701
73	2.422899237
74	2.408680805
75	2.402688989
76	2.390299149
77	2.386859388
78	2.377379819
79	2.369588752
80	2.359870547
81	2.348489308
82	2.339782916
83	2.331184712
