iter	Passed	Remaining
0	8	1625
1	15	1495
2	22	1475
3	30	1479
4	38	1517
5	45	1468
6	52	1446
7	59	1436
8	66	1416
9	73	1391
10	80	1376
11	87	1363
12	93	1344
13	100	1331
14	106	1319
15	113	1310
16	120	1301
17	127	1291
18	135	1291
19	142	1278
20	148	1267
21	155	1257
22	164	1263
23	170	1253
24	177	1243
25	185	1242
26	192	1231
27	198	1220
28	206	1215
29	212	1204
30	219	1198
31	226	1189
32	233	1182
33	240	1173
34	247	1164
35	253	1157
36	260	1148
37	267	1140
38	274	1131
39	282	1130
40	288	1117
41	293	1105
42	299	1093
43	305	1083
44	310	1071
45	316	1059
46	322	1048
47	328	1040
48	334	1030
49	339	1019
50	345	1008
51	352	1001
52	358	993
53	363	983
54	369	973
55	375	966
56	383	962
57	389	952
58	394	942
59	400	934
60	405	924
61	411	915
62	416	905
63	421	896
64	432	897
65	437	888
66	443	879
67	449	872
68	454	863
69	460	854
70	466	846
71	471	838
72	477	829
73	483	823
74	489	815
75	494	806
76	500	798
77	505	790
78	511	782
79	516	774
80	521	766
81	528	760
82	533	752
83	539	744
84	547	740
85	552	732
86	558	724
87	563	717
88	569	709
89	576	704
90	584	699
91	592	695
92	598	688
93	603	680
94	609	673
95	615	666
96	620	659
97	625	651
98	631	644
99	637	637
100	642	630
101	648	622
102	654	616
103	661	610
104	668	604
105	673	597
106	679	590
107	684	583
108	690	576
109	695	569
110	701	562
111	706	555
112	712	548
113	717	541
114	723	534
115	730	528
116	736	522
117	741	515
118	747	508
119	753	502
120	758	495
121	764	488
122	770	482
123	776	476
124	786	471
125	793	465
126	798	459
127	804	452
128	809	445
129	817	440
130	823	433
131	828	426
132	834	420
133	840	413
134	845	407
135	850	400
136	856	393
137	862	387
138	868	381
139	875	375
140	882	369
141	889	363
142	896	357
143	903	351
144	910	345
145	919	340
146	926	333
147	933	327
148	941	322
149	948	316
150	956	310
151	962	304
152	968	297
153	974	290
154	979	284
155	985	277
156	990	271
157	996	264
158	1001	258
159	1007	251
160	1013	245
161	1018	238
162	1024	232
163	1029	226
164	1036	219
165	1042	213
166	1047	207
167	1053	200
168	1060	194
169	1066	188
170	1071	181
171	1077	175
172	1083	169
173	1088	162
174	1093	156
175	1099	149
176	1105	143
177	1110	137
178	1115	130
179	1121	124
180	1126	118
181	1132	112
182	1138	105
183	1145	99
184	1150	93
185	1158	87
186	1163	80
187	1169	74
188	1176	68
189	1182	62
190	1188	55
191	1193	49
192	1198	43
193	1204	37
194	1209	31
195	1215	24
196	1220	18
197	1226	12
198	1232	6
199	1238	0
